Name in documentation	Category	Qty	Full Name	Notes
acople flexible de aluminio	mecanica	1		
alicate de corte diagonal	herramientas	1		
caja de cambios 100:1	mecanica	1		
cuchillo de hoja rectráctil	herramientas	1		
filamento PLA	insumo	200 g		
impresora 3D	herramientas	1		
inserto roscado M3	mecanica	4		
llave Allen M2	herramientas	1		
llave Allen M3	herramientas	1		
llave Allen M4	herramientas	1		
motor NEMA 17	electronica	1		
rodamiento lineal	mecanica	2		
soldador	herramientas	1		
tornillo M3 10mm	mecanica	2		
tornillo M3 12mm	mecanica	2		
tornillo M3 16mm	mecanica	4		
tornillo M3 20mm	mecanica	2		
tornillo M3 8mm	mecanica	4		
tornillo M4 10mm	mecanica	4		
tuerca de varilla roscada	mecanica	1		
tuerca M3	mecanica	2		
varilla lisa	mecanica	2		
varilla roscada	mecanica	1		
